Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2022/2028;Romania;;Côte d'Ivoire;;2;0
2022/2028;Romania;;Cameroon;;2;0
2022/2028;Romania;;Colombia;;2;0
2022/2028;Romania;;Croatia;;6;0
2022/2028;Romania;;Cyprus;;4;0
2022/2028;Romania;;Egypt;;2;0
2022/2028;Romania;;England;;4;0
2022/2028;Romania;;Spain;;8;0
2022/2028;Romania;;France;;16;0
2022/2028;Romania;;Germany;;14;0
2022/2028;Romania;;Ghana;;6;0
2022/2028;Romania;;Greece;;22;0
2022/2028;Romania;;Hong Kong;;2;0
2022/2028;Romania;;Hungary;;14;0
2022/2028;Romania;;Israel;;6;0
2022/2028;Romania;;Italy;;56;879176,0086
2022/2028;Romania;;Kazakhstan;;2;0
2022/2028;Romania;;Libya;;2;0
2022/2028;Romania;;Lithuania;;2;484299,7134
2022/2028;Romania;;Luxembourg;;2;0
2022/2028;Romania;;Latvia;;2;80716,6189
2022/2028;Romania;;Morocco;;2;0
2022/2028;Romania;;Moldova;;12;204163,7725
2022/2028;Romania;;FYR Macedonia;;6;0
2022/2028;Romania;;Montenegro;;2;0
2022/2028;Romania;;Netherlands;;2;0
2022/2028;Romania;;Peru;;2;0
2022/2028;Romania;;Poland;;6;0
2022/2028;Romania;;Portugal;;22;2219707,02
2022/2028;Romania;;Russia;;10;0
2022/2028;Romania;;Scotland;;2;0
2022/2028;Romania;;Senegal;;6;63000
2022/2028;Romania;;Serbia;;10;0
2022/2028;Romania;;Switzerland;;6;0
2022/2028;Romania;;Slovakia;;2;0
2022/2028;Romania;;Slovenia;;2;0
2022/2028;Romania;;Sweden;;2;0
2022/2028;Romania;;Syria;;2;0
2022/2028;Romania;;Thailand;;2;0
2022/2028;Romania;;Tunisia;;4;150000
2022/2028;Romania;;Turkey;;6;0
2022/2028;Romania;;Ukraine;;10;0
2022/2028;Russia;;Argentina;;4;20100000
2022/2028;Russia;;Armenia;;8;0
2022/2028;Russia;;Austria;;4;15219924,01
2022/2028;Russia;;Azerbaijan;;12;0
2022/2028;Russia;;Belgium;;4;11412884,28
2022/2028;Russia;;Belarus;;24;12540421,85
2022/2028;Russia;;Brazil;;20;121875376,2
2022/2028;Russia;;Bulgaria;;4;807166,189
2022/2028;Russia;;Canada;;2;0
2022/2028;Russia;;Cyprus;;2;10089577,36
2022/2028;Russia;;Czech Republic;;2;1500000
2022/2028;Russia;;Denmark;;2;27362933,81
2022/2028;Russia;;Ecuador;;2;0
2022/2028;Russia;;England;;6;29259774,35
2022/2028;Russia;;Spain;;16;114540927,7
2022/2028;Russia;;Estonia;;6;0
2022/2028;Russia;;Finland;;2;0
2022/2028;Russia;;France;;12;69354447,3
2022/2028;Russia;;Gabon;;2;450000
2022/2028;Russia;;Georgia;;14;0
2022/2028;Russia;;Germany;;12;32286647,56
2022/2028;Russia;;Ghana;;2;0
2022/2028;Russia;;Greece;;4;0
2022/2028;Russia;;Hungary;;4;0
2022/2028;Russia;;Iran;;2;0
2022/2028;Russia;;Israel;;4;8071661,89
2022/2028;Russia;;Italy;;4;25697406,39
2022/2028;Russia;;Kazakhstan;;6;600000
2022/2028;Russia;;Kyrgyzstan;;2;195988,8165
2022/2028;Russia;;Lithuania;;2;0
2022/2028;Russia;;Latvia;;36;1831449,672
2022/2028;Russia;;Moldova;;16;4200830,945
2022/2028;Russia;;Montenegro;;4;5235016,082
2022/2028;Russia;;Netherlands;;10;30268732,09
2022/2028;Russia;;Paraguay;;4;18000000
2022/2028;Russia;;Poland;;8;4035830,945
2022/2028;Russia;;Portugal;;14;318615570,6
2022/2028;Russia;;Romania;;14;1880032,665
2022/2028;Russia;;South Africa;;2;2421498,567
2022/2028;Russia;;Scotland;;2;0
2022/2028;Russia;;El Salvador;;2;300000
2022/2028;Russia;;Serbia;;4;6070253,478
2022/2028;Russia;;Switzerland;;2;2548123,164
2022/2028;Russia;;Slovakia;;2;0
2022/2028;Russia;;Sweden;;2;0
2022/2028;Russia;;Tunisia;;2;3430456,303
2022/2028;Russia;;Turkey;;4;5246580,229
2022/2028;Russia;;Ukraine;;42;139000865,4
2022/2028;Russia;;Uruguay;;2;9800473,709
2022/2028;Russia;;Uzbekistan;;8;0
2022/2028;Scotland;;Australia;;12;2205945
2022/2028;Scotland;;Azerbaijan;;2;0
2022/2028;Scotland;;Belgium;;4;0
2022/2028;Scotland;;Brazil;;2;0
2022/2028;Scotland;;Bulgaria;;4;0
2022/2028;Scotland;;Croatia;;2;0
2022/2028;Scotland;;England;;160;540267,1121
2022/2028;Scotland;;Spain;;18;1756145,078
2022/2028;Scotland;;Finland;;4;0
2022/2028;Scotland;;France;;6;0
2022/2028;Scotland;;Faroe Islands;;2;0
2022/2028;Scotland;;Germany;;2;0
2022/2028;Scotland;;Greece;;6;0
2022/2028;Scotland;;Republic of Ireland;;12;863732,5691
2022/2028;Scotland;;Iceland;;4;0
2022/2028;Scotland;;Israel;;2;4035830,945
2022/2028;Scotland;;Italy;;12;0
2022/2028;Scotland;;Lithuania;;2;0
2022/2028;Scotland;;Luxembourg;;2;0
2022/2028;Scotland;;Netherlands;;2;0
2022/2028;Scotland;;Nigeria;;4;0
2022/2028;Scotland;;Northern Ireland;;2;0
2022/2028;Scotland;;Poland;;2;0
2022/2028;Scotland;;Portugal;;2;0
2022/2028;Scotland;;Switzerland;;6;0
2022/2028;Scotland;;Sweden;;6;0
2022/2028;Scotland;;USA;;8;0
2022/2028;Scotland;;Wales;;6;0
2022/2028;Serbia;;Albania;;2;0
2022/2028;Serbia;;Algeria;;2;0
2022/2028;Serbia;;Australia;;2;1412540,831
2022/2028;Serbia;;Azerbaijan;;6;0
2022/2028;Serbia;;Bosnia-Herzegovina;;28;88788,28079
2022/2028;Serbia;;Brazil;;4;0
2022/2028;Serbia;;Bulgaria;;4;0
2022/2028;Serbia;;China PR;;4;0
2022/2028;Serbia;;Cameroon;;4;32286,64756
2022/2028;Serbia;;Croatia;;2;0
2022/2028;Serbia;;Cyprus;;8;0
2022/2028;Serbia;;Czech Republic;;2;40358,30945
2022/2028;Serbia;;England;;4;0
2022/2028;Serbia;;Spain;;2;0
2022/2028;Serbia;;France;;2;0
2022/2028;Serbia;;Ghana;;2;0
2022/2028;Serbia;;Greece;;8;0
2022/2028;Serbia;;Hong Kong;;2;0
2022/2028;Serbia;;Honduras;;2;377844,8528
2022/2028;Serbia;;Hungary;;4;0
2022/2028;Serbia;;Iran;;4;0
2022/2028;Serbia;;Israel;;10;0
2022/2028;Serbia;;Kazakhstan;;12;0
2022/2028;Serbia;;Kenya;;2;0
2022/2028;Serbia;;Kuwait;;2;0
2022/2028;Serbia;;Moldova;;2;0
2022/2028;Serbia;;FYR Macedonia;;4;161433,2378
2022/2028;Serbia;;Montenegro;;20;425911,4549
2022/2028;Serbia;;Poland;;10;0
2022/2028;Serbia;;Portugal;;12;0
2022/2028;Serbia;;Romania;;4;0
2022/2028;Serbia;;Russia;;12;0
2022/2028;Serbia;;Senegal;;2;0
2022/2028;Serbia;;Singapore;;2;0
2022/2028;Serbia;;El Salvador;;2;0
2022/2028;Serbia;;Switzerland;;2;0
2022/2028;Serbia;;Slovakia;;8;0
2022/2028;Serbia;;Slovenia;;6;201791,5473
2022/2028;Serbia;;Sweden;;2;0
2022/2028;Serbia;;United Arab Emirates;;2;0
2022/2028;Switzerland;;Argentina;;4;4842997,134
2022/2028;Switzerland;;Austria;;6;1878784,237
2022/2028;Switzerland;;Azerbaijan;;4;0
2022/2028;Switzerland;;Bosnia-Herzegovina;;2;0
2022/2028;Switzerland;;Brazil;;14;1392865,781
2022/2028;Switzerland;;Canada;;2;345000
2022/2028;Switzerland;;Chile;;2;13500000
2022/2028;Switzerland;;China PR;;2;0
2022/2028;Switzerland;;Croatia;;2;0
2022/2028;Switzerland;;Cyprus;;2;0
2022/2028;Switzerland;;Czech Republic;;2;0
2022/2028;Switzerland;;Egypt;;6;9864327,603
2022/2028;Switzerland;;England;;8;0
2022/2028;Switzerland;;Spain;;6;0
2022/2028;Switzerland;;Finland;;4;0
2022/2028;Switzerland;;France;;24;6457329,512
2022/2028;Switzerland;;Germany;;16;2636209,079
2022/2028;Switzerland;;Greece;;2;0
2022/2028;Switzerland;;Hungary;;4;0
2022/2028;Switzerland;;Italy;;46;0
2022/2028;Switzerland;;Japan;;2;2473117,651
2022/2028;Switzerland;;Netherlands;;2;6105759,206
2022/2028;Switzerland;;Portugal;;6;536086,3101
2022/2028;Switzerland;;Romania;;2;0
2022/2028;Switzerland;;Scotland;;2;0
2022/2028;Switzerland;;Senegal;;2;0
2022/2028;Switzerland;;Serbia;;8;0
2022/2028;Switzerland;;Slovakia;;2;0
2022/2028;Switzerland;;Tunisia;;8;4035830,945
2022/2028;Switzerland;;Ukraine;;2;0
2022/2028;Switzerland;;USA;;2;0
2022/2028;Slovakia;;Argentina;;2;0
2022/2028;Slovakia;;Austria;;2;0
2022/2028;Slovakia;;Azerbaijan;;2;0
2022/2028;Slovakia;;Brazil;;2;195556,7117
2022/2028;Slovakia;;Bulgaria;;2;0
2022/2028;Slovakia;;Cyprus;;2;0
2022/2028;Slovakia;;Czech Republic;;74;612118,5758
2022/2028;Slovakia;;Spain;;2;0
2022/2028;Slovakia;;Germany;;6;0
2022/2028;Slovakia;;Hungary;;10;39473,51001
2022/2028;Slovakia;;Italy;;2;0
2022/2028;Slovakia;;Netherlands;;6;161433,2378
2022/2028;Slovakia;;Poland;;10;0
2022/2028;Slovakia;;Portugal;;2;0
2022/2028;Slovakia;;Romania;;2;0
2022/2028;Slovakia;;Russia;;2;0
2022/2028;Slovakia;;Serbia;;2;0
2022/2028;Slovakia;;Ukraine;;10;0
2022/2028;Slovenia;;Austria;;2;0
2022/2028;Slovenia;;Belgium;;6;0
2022/2028;Slovenia;;Bosnia-Herzegovina;;6;0
2022/2028;Slovenia;;Croatia;;18;0
2022/2028;Slovenia;;Spain;;2;0
2022/2028;Slovenia;;France;;2;0
2022/2028;Slovenia;;Germany;;4;0
2022/2028;Slovenia;;Greece;;2;0
2022/2028;Slovenia;;Hungary;;4;0
2022/2028;Slovenia;;Iceland;;2;0
2022/2028;Slovenia;;Italy;;22;0
2022/2028;Slovenia;;Kazakhstan;;2;0
2022/2028;Slovenia;;Netherlands;;10;0
2022/2028;Slovenia;;Poland;;2;0
2022/2028;Slovenia;;Portugal;;2;0
2022/2028;Slovenia;;Romania;;2;0
2022/2028;Slovenia;;Serbia;;10;0
2022/2028;Sweden;;Albania;;2;0
2022/2028;Sweden;;Australia;;2;0
2022/2028;Sweden;;Belgium;;8;2421498,567
2022/2028;Sweden;;Bahrain;;2;0
2022/2028;Sweden;;Belarus;;2;1107,274621
2022/2028;Sweden;;Brazil;;6;0
2022/2028;Sweden;;Canada;;2;0
2022/2028;Sweden;;China PR;;4;0
2022/2028;Sweden;;Croatia;;4;0
2022/2028;Sweden;;Denmark;;26;594997,4643
2022/2028;Sweden;;Egypt;;2;0
2022/2028;Sweden;;England;;38;47024,14785
2022/2028;Sweden;;Spain;;18;0
2022/2028;Sweden;;Estonia;;2;0
2022/2028;Sweden;;Finland;;36;38801,8004
2022/2028;Sweden;;France;;2;0
2022/2028;Sweden;;Gambia;;2;0
2022/2028;Sweden;;Germany;;8;0
2022/2028;Sweden;;Ghana;;18;2197334,205
2022/2028;Sweden;;Greece;;10;0
2022/2028;Sweden;;Republic of Ireland;;2;0
2022/2028;Sweden;;Iran;;4;0
2022/2028;Sweden;;Iceland;;8;0
2022/2028;Sweden;;Italy;;8;0
2022/2028;Sweden;;Jamaica;;2;0
2022/2028;Sweden;;Kazakhstan;;4;0
2022/2028;Sweden;;Kosovo;;2;0
2022/2028;Sweden;;Liberia;;4;0
2022/2028;Sweden;;Moldova;;2;0
2022/2028;Sweden;;Malta;;2;0
2022/2028;Sweden;;Montenegro;;2;0
2022/2028;Sweden;;Netherlands;;10;3268875,086
2022/2028;Sweden;;Nigeria;;6;0
2022/2028;Sweden;;Norway;;22;8992786,208
2022/2028;Sweden;;Poland;;6;0
2022/2028;Sweden;;Portugal;;2;0
2022/2028;Sweden;;South Africa;;6;0
2022/2028;Sweden;;Russia;;2;0
2022/2028;Sweden;;Scotland;;10;1998526,284
2022/2028;Sweden;;Senegal;;2;12000
2022/2028;Sweden;;Sierra Leone;;8;100895,7736
2022/2028;Sweden;;El Salvador;;2;18000
2022/2028;Sweden;;Serbia;;8;0
2022/2028;Sweden;;Slovenia;;2;0
2022/2028;Sweden;;Thailand;;2;0
2022/2028;Sweden;;Tajikistan;;2;0
2022/2028;Sweden;;Turkey;;10;0
2022/2028;Sweden;;Uruguay;;2;164400
2022/2028;Sweden;;USA;;20;0
2022/2028;Sweden;;Wales;;2;0
2022/2028;Turkey;;Algeria;;2;0
2022/2028;Turkey;;Argentina;;8;18855489,47
2022/2028;Turkey;;Australia;;4;1048811,105
2022/2028;Turkey;;Austria;;12;3026873,209
2022/2028;Turkey;;Azerbaijan;;14;0
2022/2028;Turkey;;Belgium;;22;0
2022/2028;Turkey;;Bosnia-Herzegovina;;2;237803,4446
2022/2028;Turkey;;Belarus;;2;4035830,945
2022/2028;Turkey;;Brazil;;4;403583,0945
2022/2028;Turkey;;Bulgaria;;12;2684040,614
2022/2028;Turkey;;China PR;;2;0
2022/2028;Turkey;;Cameroon;;2;2017915,473
2022/2028;Turkey;;Croatia;;2;0
2022/2028;Turkey;;Czech Republic;;6;1084734,756
2022/2028;Turkey;;Denmark;;4;0
2022/2028;Turkey;;Egypt;;6;1158957,736
2022/2028;Turkey;;England;;36;54169538,96
2022/2028;Turkey;;Spain;;28;48308317,12
2022/2028;Turkey;;Finland;;6;2986514,899
2022/2028;Turkey;;France;;12;8677036,532
2022/2028;Turkey;;Germany;;112;11401222,42
2022/2028;Turkey;;Greece;;8;0
2022/2028;Turkey;;Iran;;2;0
2022/2028;Turkey;;Israel;;4;0
2022/2028;Turkey;;Italy;;12;71941479,68
2022/2028;Turkey;;Kazakhstan;;6;0
2022/2028;Turkey;;Saudi Arabia;;2;0
2022/2028;Turkey;;Moldova;;2;0
2022/2028;Turkey;;Maldives;;2;0
2022/2028;Turkey;;Netherlands;;22;1114191,979
2022/2028;Turkey;;Nigeria;;10;3502156,802
2022/2028;Turkey;;Norway;;6;0
2022/2028;Turkey;;Poland;;10;4528627,092
2022/2028;Turkey;;Portugal;;18;31439123,06
2022/2028;Turkey;;Qatar;;2;0
2022/2028;Turkey;;Romania;;4;0
2022/2028;Turkey;;South Africa;;2;0
2022/2028;Turkey;;Russia;;4;201791,5473
2022/2028;Turkey;;Scotland;;2;0
2022/2028;Turkey;;Serbia;;14;9881277,761
2022/2028;Turkey;;Switzerland;;6;0
2022/2028;Turkey;;Slovakia;;2;0
2022/2028;Turkey;;Slovenia;;2;201791,5473
2022/2028;Turkey;;Sweden;;6;1917019,699
2022/2028;Turkey;;Turkmenistan;;2;0
2022/2028;Turkey;;Ukraine;;6;7454485,638
2022/2028;Turkey;;Uruguay;;6;35515312,32
2022/2028;Turkey;;USA;;2;0
2022/2028;Ukraine;;Armenia;;8;0
2022/2028;Ukraine;;Australia;;2;0
2022/2028;Ukraine;;Azerbaijan;;4;0
2022/2028;Ukraine;;Belarus;;20;0
2022/2028;Ukraine;;Brazil;;20;47967462,82
2022/2028;Ukraine;;Bulgaria;;8;7462315,881
2022/2028;Ukraine;;Croatia;;4;14125408,31
2022/2028;Ukraine;;Cyprus;;4;0
2022/2028;Ukraine;;Czech Republic;;8;0
2022/2028;Ukraine;;England;;4;26232901,14
2022/2028;Ukraine;;Spain;;8;38340393,98
2022/2028;Ukraine;;France;;4;1614332,378
2022/2028;Ukraine;;Georgia;;10;0
2022/2028;Ukraine;;Germany;;10;39349351,71
2022/2028;Ukraine;;Greece;;6;0
2022/2028;Ukraine;;Guinea;;2;0
2022/2028;Ukraine;;Israel;;2;0
2022/2028;Ukraine;;Italy;;10;27182513,64
2022/2028;Ukraine;;Kazakhstan;;6;0
2022/2028;Ukraine;;Kyrgyzstan;;2;210000
2022/2028;Ukraine;;Lithuania;;12;0
2022/2028;Ukraine;;Latvia;;8;0
2022/2028;Ukraine;;Moldova;;26;0
2022/2028;Ukraine;;Montenegro;;2;0
2022/2028;Ukraine;;Netherlands;;4;1469042,464
2022/2028;Ukraine;;Nigeria;;2;0
2022/2028;Ukraine;;Peru;;2;1500000
2022/2028;Ukraine;;Poland;;18;0
2022/2028;Ukraine;;Portugal;;6;16950489,97
2022/2028;Ukraine;;Romania;;6;0
2022/2028;Ukraine;;Russia;;24;150150
2022/2028;Ukraine;;Serbia;;4;0
2022/2028;Ukraine;;Switzerland;;2;300000
2022/2028;Ukraine;;Slovakia;;8;764683,741
2022/2028;Ukraine;;Tajikistan;;6;0
2022/2028;Ukraine;;Turkey;;2;0
2022/2028;Ukraine;;United Arab Emirates;;2;7839552,661
2022/2028;Ukraine;;Uzbekistan;;10;300000
2022/2028;Wales;;Denmark;;2;0
2022/2028;Wales;;England;;164;50461799,83
2022/2028;Wales;;Spain;;10;42762329,79
2022/2028;Wales;;Germany;;2;1210749,284
2022/2028;Wales;;Italy;;2;13116450,57
2022/2028;Wales;;Japan;;2;11300326,65
2022/2028;Wales;;Netherlands;;2;0
2022/2028;Wales;;Scotland;;2;25863281,32
2022/2028;Wales;;Slovenia;;2;8071661,89
